Year,Month,Industry_Section,Occupation_Group,Number_of_Vacancies
2016,September,K: Financing and insurance,Associate_Professionals,2308
2016,September,K: Financing and insurance,Clerical_Support_Workers,957
2016,September,K: Financing and insurance,Service_Sales_Workers,80
2016,September,K: Financing and insurance,Craft_Related_Workers,1
2016,September,K: Financing and insurance,Plant_Machine_Operators,3
2016,September,K: Financing and insurance,Skilled_Agricultural_Fishery,0
2016,September,K: Financing and insurance,Elementary_Occupations,52
2016,September,K: Financing and insurance,Total,5418
2016,September,L: Real estate,Managers,201
2016,September,L: Real estate,Professionals,71
2016,September,L: Real estate,Associate_Professionals,1131
2016,September,L: Real estate,Clerical_Support_Workers,256
2016,September,L: Real estate,Service_Sales_Workers,1631
2016,September,L: Real estate,Craft_Related_Workers,228
2016,September,L: Real estate,Plant_Machine_Operators,3
2016,September,L: Real estate,Skilled_Agricultural_Fishery,1
2016,September,L: Real estate,Elementary_Occupations,531
2016,September,L: Real estate,Total,4053
2016,September,M & N: Professional and business services,Managers,386
2016,September,M & N: Professional and business services,Professionals,966
2016,September,M & N: Professional and business services,Associate_Professionals,1459
2016,September,M & N: Professional and business services,Clerical_Support_Workers,1142
2016,September,M & N: Professional and business services,Service_Sales_Workers,2123
2016,September,M & N: Professional and business services,Craft_Related_Workers,178
2016,September,M & N: Professional and business services,Plant_Machine_Operators,72
2016,September,M & N: Professional and business services,Skilled_Agricultural_Fishery,30
2016,September,M & N: Professional and business services,Elementary_Occupations,1846
2016,September,M & N: Professional and business services,Total,8202
2016,September,P - S: Social and personal services,Managers,258
2016,September,P - S: Social and personal services,Professionals,2379
2016,September,P - S: Social and personal services,Associate_Professionals,2194
2016,September,P - S: Social and personal services,Clerical_Support_Workers,2128
2016,September,P - S: Social and personal services,Service_Sales_Workers,4955
2016,September,P - S: Social and personal services,Craft_Related_Workers,493
2016,September,P - S: Social and personal services,Plant_Machine_Operators,68
2016,September,P - S: Social and personal services,Skilled_Agricultural_Fishery,21
2016,September,P - S: Social and personal services,Elementary_Occupations,1714
2016,September,P - S: Social and personal services,Total,14210
2016,September,All industry sections covered,Managers,3135
2016,September,All industry sections covered,Professionals,6185
2016,September,All industry sections covered,Associate_Professionals,11046
2016,September,All industry sections covered,Clerical_Support_Workers,7996
2016,September,All industry sections covered,Service_Sales_Workers,27259
2016,September,All industry sections covered,Craft_Related_Workers,3068
2016,September,All industry sections covered,Plant_Machine_Operators,1806
2016,September,All industry sections covered,Skilled_Agricultural_Fishery,52
2016,September,All industry sections covered,Elementary_Occupations,8794
2016,September,All industry sections covered,Total,69341
2016,December,Manufacturing,Managers,8
2016,December,Manufacturing,Professionals,119
2016,December,Manufacturing,Associate_Professionals,100
2016,December,Manufacturing,Clerical_Support_Workers,145
2016,December,Manufacturing,Service_Sales_Workers,173
2016,December,Manufacturing,Craft_Related_Workers,438
2016,December,Manufacturing,Plant_Machine_Operators,467
2016,December,Manufacturing,Skilled_Agricultural_Fishery,0
2016,December,Manufacturing,Elementary_Occupations,617
2016,December,Manufacturing,Total,2067
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Managers,8
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Professionals,16
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Associate_Professionals,26
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Clerical_Support_Workers,12
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Service_Sales_Workers,2
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Craft_Related_Workers,41
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Plant_Machine_Operators,22
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Skilled_Agricultural_Fishery,0
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Elementary_Occupations,57
2016,December,"Mining, Quarrying, Electricity, Gas, Waste Management",Total,184
2016,December,Construction Sites (Manual Workers),Managers,NA
2016,December,Construction Sites (Manual Workers),Professionals,NA
2016,December,Construction Sites (Manual Workers),Associate_Professionals,NA
2016,December,Construction Sites (Manual Workers),Clerical_Support_Workers,NA
2016,December,Construction Sites (Manual Workers),Service_Sales_Workers,NA
2016,December,Construction Sites (Manual Workers),Craft_Related_Workers,670
2016,December,Construction Sites (Manual Workers),Plant_Machine_Operators,46
2016,December,Construction Sites (Manual Workers),Skilled_Agricultural_Fishery,NA
2016,December,Construction Sites (Manual Workers),Elementary_Occupations,132
2016,December,Construction Sites (Manual Workers),Total,848
2016,December,"G: Import/export, wholesale and retail trades",Managers,617
2016,December,"G: Import/export, wholesale and retail trades",Professionals,663
2016,December,"G: Import/export, wholesale and retail trades",Associate_Professionals,1883
2016,December,"G: Import/export, wholesale and retail trades",Clerical_Support_Workers,2405
2016,December,"G: Import/export, wholesale and retail trades",Service_Sales_Workers,6675
2016,December,"G: Import/export, wholesale and retail trades",Craft_Related_Workers,438
2016,December,"G: Import/export, wholesale and retail trades",Plant_Machine_Operators,323
2016,December,"G: Import/export, wholesale and retail trades",Skilled_Agricultural_Fishery,0
2016,December,"G: Import/export, wholesale and retail trades",Elementary_Occupations,1442
2016,December,"G: Import/export, wholesale and retail trades",Total,14446
2016,December,G45-46: Import/export trade and wholesale,Managers,420
2016,December,G45-46: Import/export trade and wholesale,Professionals,587
2016,December,G45-46: Import/export trade and wholesale,Associate_Professionals,1535
2016,December,G45-46: Import/export trade and wholesale,Clerical_Support_Workers,1837
2016,December,G45-46: Import/export trade and wholesale,Service_Sales_Workers,1243
2016,December,G45-46: Import/export trade and wholesale,Craft_Related_Workers,200
2016,December,G45-46: Import/export trade and wholesale,Plant_Machine_Operators,318
2016,December,G45-46: Import/export trade and wholesale,Skilled_Agricultural_Fishery,0
2016,December,G45-46: Import/export trade and wholesale,Elementary_Occupations,933
